TaskID,Sprint,Epic,Title,Description,AcceptanceCriteria,EstimatePoints,DependsOn,Priority
RS-001,Sprint 1,Foundations,Create solution + projects structure,Crear la solución RepairShop con capas Api/Application/Domain/Infrastructure + Tests.,La solución compila; proyectos referenciados correctamente; estructura de carpetas creada.,2,,P0
RS-002,Sprint 1,Foundations,Add docker-compose with PostgreSQL,Agregar docker-compose.yml con Postgres + volumen + credenciales por env vars.,docker compose up levanta Postgres; puerto expuesto; datos persisten en volumen.,2,RS-001,P0
RS-003,Sprint 1,Foundations,Configure EF Core + DbContext,"Configurar EF Core, cadena de conexión, DbContext y migraciones.",DbContext conecta; se puede ejecutar migration; app arranca sin errores.,3,RS-002,P0
RS-004,Sprint 1,Foundations,Initial migration + database creation,Crear migración inicial y aplicar a Postgres.,Migration creada; database creada con tablas iniciales; comando documentado.,2,RS-003,P0
RS-005,Sprint 1,API Quality,Global error handling (ProblemDetails),Middleware/filters para excepciones -> ProblemDetails consistente.,"Errores devuelven ProblemDetails con status, title, detail, traceId.",3,RS-001,P0
RS-006,Sprint 1,Auth & Security,User model + password hashing,"Implementar tabla User (email, passwordHash, role) + hashing seguro.",Se puede crear/verificar password; no se guardan passwords en texto plano.,3,RS-004,P0
RS-007,Sprint 1,Auth & Security,JWT issuing endpoint (/auth/login),Endpoint login que valida credenciales y emite JWT con role claims.,Login correcto devuelve token; login inválido devuelve 401 con ProblemDetails.,3,RS-006,P0
RS-008,Sprint 1,Auth & Security,Authorize + role policies,Configurar [Authorize] y roles admin/tech; endpoints protegidos.,Endpoints protegidos requieren JWT; reglas de rol funcionan.,2,RS-007,P0
RS-009,Sprint 1,Auth & Security,Seed admin/tech users,Seed de 2 usuarios: admin y tech (credenciales documentadas).,"Al levantar, existen usuarios seed y se puede loguear con ambos.",2,RS-006,P1
RS-010,Sprint 1,DevEx & Docs,Swagger + Bearer authentication,Configurar Swagger/OpenAPI con soporte Bearer.,Swagger permite Authorize con token; endpoints muestran códigos/DTOs.,2,RS-007,P0
RS-011,Sprint 1,Customers,Customer entity + configuration,Crear entidad Customer con validaciones básicas y mapping EF.,Tabla Customer creada; restricciones de longitudes/required aplicadas.,2,RS-004,P0
RS-012,Sprint 1,Customers,CustomersController CRUD,"Endpoints CRUD: create, get by id, list (paginación simple), update, delete (soft opcional).",CRUD funciona; status codes correctos; validación devuelve 400 con detalles.,5,RS-011,P0
RS-013,Sprint 1,Customers,Customer DTOs + validation,DTOs request/response + DataAnnotations/FluentValidation.,Errores de validación consistentes; campos obligatorios validados.,2,RS-012,P0
RS-014,Sprint 1,Devices,Device entity + relation to Customer,Crear entidad Device con FK a Customer (1:N).,Tabla Device creada; FK enforce; no permite device sin customer.,3,RS-011,P0
RS-015,Sprint 1,Devices,DevicesController CRUD,CRUD de Device: create/list/get/update/delete; endpoints incluyen customerId.,CRUD funciona; valida customer existente; devuelve 404 si customer no existe.,5,RS-014,P0
RS-016,Sprint 1,Orders,RepairOrder entity (base fields),"Crear entidad RepairOrder con status inicial Entered y campos base (reportedIssue, timestamps, etc.).",Tabla RepairOrder creada; default status Entered; FK a Customer y Device.,3,RS-014,P0
RS-017,Sprint 1,Orders,OrdersController basic CRUD (no workflow yet),"Crear orden, obtener, listar, actualizar campos básicos.",Crear orden exige customer+device existentes; status inicial Entered; list funciona.,5,RS-016,P0
RS-018,Sprint 2,Orders,Order status history entity,Agregar OrderStatusHistory (from/to/changedBy/changedAt) y mapping EF.,Al cambiar estado se inserta una fila en history; migración aplicada.,3,RS-016,P0
RS-019,Sprint 2,Orders,Implement status transition service,Servicio de dominio/aplicación para ChangeStatus con reglas.,Reglas aplicadas: Ready requiere diagnosis+bujet; Delivered requiere Ready; InProgress requiere approved.,5,RS-018,P0
RS-020,Sprint 2,Orders,Endpoint POST /orders/{id}/status,Controller action que usa el service y registra history.,Endpoint cambia status válido; invalid transitions devuelven 400/409 con ProblemDetails.,3,RS-019,P0
RS-021,Sprint 2,Orders,Order notes: entity + endpoints,Agregar OrderNote y endpoints POST/GET por order.,Se pueden agregar notas; guardan createdBy/createdAt; list devuelve ordenadas.,3,RS-016,P1
RS-022,Sprint 2,Orders,Order attachments (links): entity + endpoints,"Agregar OrderAttachment (title,url) y endpoints POST/GET; validar URL.",Adjuntos guardan URL válida; URL inválida devuelve 400.,3,RS-016,P1
RS-023,Sprint 2,API Quality,Consistent response contracts + status codes,"Normalizar respuestas (CreatedAtAction, 404, 400, 401/403) + ProblemDetails.",Todos endpoints usan patrones consistentes; swagger refleja respuestas.,2,RS-010,P1
RS-024,Sprint 2,Testing,Unit tests for status rules (set 1),Escribir tests: Ready sin diagnosis/budget; Delivered sin Ready; InProgress sin approved.,Mínimo 6 tests pasan; no tocan DB (testean services/domain).,5,RS-019,P0
RS-025,Sprint 2,Testing,Unit tests for history + invariants (set 2),Tests: escribir history entry; invalid jump; device/customer mismatch.,Mínimo 6 tests adicionales pasan; total 12+ tests.,5,RS-018,P0
RS-026,Sprint 2,DevEx & Docs,README pro + curl examples,"README: setup, docker, migrate, seed users, auth, endpoints clave, decisiones/tradeoffs.",Un tercero puede levantar el proyecto en < 10 min siguiendo README.,3,RS-017,P0
RS-027,Sprint 2,DevEx & Docs,Postman/HTTP file for manual testing (optional),Agregar colección Postman o .http con requests comunes.,Requests cubren login + CRUD + status transition + notes/attachments.,2,RS-026,P2
RS-028,Sprint 2,DevEx & Docs,CI pipeline (optional) - build + test,GitHub Actions: build + run unit tests en PR/push.,Pipeline pasa en repo; falla si tests fallan.,2,RS-024,P2
